import time: self [us] | cumulative | imported package
import time:       574 |      12695 |                     pandas._libs.tslibs.parsing
import time:       398 |      17514 |                   pandas._libs.tslibs.conversion
import time:       510 |        510 |                   pandas._libs.tslibs.period
import time:       324 |        324 |                   pandas._libs.tslibs.vectorized
import time:       250 |      19115 |                 pandas._libs.tslibs
import time:        25 |      19139 |               pandas._libs.tslibs.nattype
import time:       176 |        176 |               pandas._libs.ops_dispatch
import time:      1190 |      20505 |             pandas._libs.missing
import time:       527 |      21032 |           pandas._libs.hashtable
import time:       522 |        522 |           pandas._libs.algos
import time:       727 |      22280 |         pandas._libs.interval
import time:       156 |      22436 |       pandas._libs
import time:       284 |        284 |         pandas._libs.tslib
import time:       623 |        906 |       pandas._libs.lib
import time:       153 |        153 |         pandas.core
import time:       945 |       1098 |       pandas.core.config_init
import time:       137 |        137 |           pandas.core.dtypes
import time:       385 |        385 |             pandas.errors
import time:       620 |        620 |             pandas.core.dtypes.generic
import time:       513 |       1517 |           pandas.core.dtypes.base
import time:       197 |        197 |           pandas.core.dtypes.inference
import time:      1686 |       3535 |         pandas.core.dtypes.dtypes
import time:       554 |        554 |           pandas.core.dtypes.common
import time:       280 |        834 |         pandas.core.dtypes.missing
import time:       591 |        591 |               pandas.util._decorators
import time:       143 |        143 |                 pandas.core.util
import time:       341 |        341 |                 pandas._libs.hashing
import time:       269 |        753 |               pandas.core.util.hashing
import time:       162 |       1505 |             pandas.util
import time:        25 |       1530 |           pandas.util._decorators
import time:       324 |        324 |             pandas.util._validators
import time:       726 |       1050 |           pandas.core.dtypes.cast
import time:       552 |        552 |             pandas.core.common
import time:       263 |        814 |           pandas.core.construction
import time:       212 |        212 |           pandas.core.indexers
import time:       812 |       4416 |         pandas.core.algorithms
import time:       584 |        584 |             pandas.compat.numpy.function
import time:       286 |        286 |                 pandas._libs.ops
import time:       141 |        141 |                   pandas.core.ops.roperator
import time:       165 |        306 |                 pandas.core.ops.missing
import time:       140 |        140 |                 pandas.core.ops.dispatch
import time:       122 |        122 |                 pandas.core.ops.invalid
import time:       340 |       1193 |               pandas.core.ops.array_ops
import time:       149 |        149 |               pandas.core.ops.common
import time:       251 |        251 |               pandas.core.ops.docstrings
import time:       198 |        198 |               pandas.core.ops.mask_ops
import time:       165 |        165 |               pandas.core.ops.methods
import time:       434 |       2388 |             pandas.core.ops
import time:       159 |        159 |               pandas.compat._optional
import time:       280 |        439 |             pandas.core.missing
import time:       648 |        648 |             pandas.core.sorting
import time:       650 |       4707 |           pandas.core.arrays.base
import time:      1005 |       1005 |               pandas.core.nanops
import time:       148 |        148 |               pandas.core.array_algos
import time:       200 |        200 |               pandas.core.array_algos.masked_reductions
import time:       340 |        340 |               pandas.core.arraylike
import time:       513 |       2204 |             pandas.core.arrays.masked
import time:       422 |       2626 |           pandas.core.arrays.boolean
import time:       216 |        216 |               _csv
import time:       378 |        593 |             csv
import time:       539 |        539 |             pandas.core.accessor
import time:       141 |        141 |               pandas.core.array_algos.transforms
import time:       561 |        702 |             pandas.core.arrays._mixins
import time:       838 |        838 |             pandas.core.base
import time:      3390 |       3390 |                 pandas.core.strings.accessor
import time:       306 |        306 |                 pandas.core.strings.base
import time:       172 |       3868 |               pandas.core.strings
import time:       381 |       4249 |             pandas.core.strings.object_array
import time:       134 |        134 |               pandas.io
import time:       191 |        324 |             pandas.io.formats
import time:       176 |        176 |             pandas.io.formats.console
import time:      1031 |       8449 |           pandas.core.arrays.categorical
import time:       138 |        138 |               pandas.tseries
import time:       497 |        497 |               pandas.tseries.frequencies
import time:      1058 |       1692 |             pandas.core.arrays.datetimelike
import time:       189 |        189 |             pandas.core.arrays._ranges
import time:       150 |        150 |             pandas.tseries.offsets
import time:       660 |       2690 |           pandas.core.arrays.datetimes
import time:       224 |        224 |               pandas.core.tools
import time:       223 |        447 |             pandas.core.tools.numeric
import time:       167 |        167 |             pandas.core.arrays.numeric
import time:       440 |       1053 |           pandas.core.arrays.floating
import time:       563 |        563 |           pandas.core.arrays.integer
import time:       130 |        130 |               pandas.core.indexes
import time:       510 |        510 |               pandas._libs.index
import time:       345 |        345 |               pandas._libs.join
import time:       334 |        334 |                       pandas._libs.sparse
import time:       384 |        384 |                       pandas.core.arrays.sparse.dtype
import time:       504 |        504 |                       pandas.io.formats.printing
import time:       563 |       1782 |                     pandas.core.arrays.sparse.array
import time:       368 |       2150 |                   pandas.core.arrays.sparse.accessor
import time:       145 |       2294 |                 pandas.core.arrays.sparse
import time:       233 |       2526 |               pandas.core.dtypes.concat
import time:       193 |        193 |               pandas.core.indexes.frozen
import time:      2015 |       5716 |             pandas.core.indexes.base
import time:      1341 |       7056 |           pandas.core.arrays.interval
import time:       471 |        471 |           pandas.core.arrays.numpy_
import time:       600 |        600 |           pandas.core.arrays.period
import time:       475 |        475 |           pandas.core.arrays.string_
import time:       458 |        458 |           pandas.core.arrays.timedeltas
import time:       288 |      29430 |         pandas.core.arrays
import time:       170 |        170 |         pandas.core.flags
import time:       324 |        324 |             pandas._libs.reduction
import time:      1208 |       1208 |                   pandas.core.indexes.extension
import time:       771 |       1978 |                 pandas.core.indexes.category
import time:     12618 |      12618 |                     pandas.core.indexes.numeric
import time:       327 |        327 |                     pandas.core.tools.timedeltas
import time:      1236 |      14181 |                   pandas.core.indexes.datetimelike
import time:       293 |        293 |                   pandas.core.tools.times
import time:      1767 |      16240 |                 pandas.core.indexes.datetimes
import time:       204 |        204 |                   pandas.util._exceptions
import time:      2546 |       2546 |                   pandas.core.indexes.multi
import time:       490 |        490 |                   pandas.core.indexes.timedeltas
import time:      2078 |       5317 |                 pandas.core.indexes.interval
import time:       995 |        995 |                 pandas.core.indexes.period
import time:      1056 |       1056 |                 pandas.core.indexes.range
import time:       324 |      25908 |               pandas.core.indexes.api
import time:       954 |      26862 |             pandas.core.aggregation
import time:        88 |         88 |                 gc
import time:       275 |        275 |                   pandas._libs.indexing
import time:      2061 |       2335 |                 pandas.core.indexing
import time:       170 |        170 |                       backports_abc
import time:       532 |        701 |                     pandas._libs.internals
import time:       314 |        314 |                     pandas._libs.writers
import time:       359 |        359 |                     pandas.core.array_algos.replace
import time:      2803 |       4175 |                   pandas.core.internals.blocks
import time:       597 |        597 |                       pandas.core.internals.ops
import time:       934 |       1531 |                     pandas.core.internals.managers
import time:       490 |       2021 |                   pandas.core.internals.concat
import time:       236 |       6431 |                 pandas.core.internals
import time:       204 |        204 |                 pandas.core.shared_docs
import time:       157 |        157 |                       pandas._libs.window
import time:      1831 |       1987 |                     pandas._libs.window.aggregations
